method,path,annotation_class,permission,resource_group,traces_to
GET,/api/v1/org-node-types,A_SCOPED_READ,org.nodetype.read,org-node-types,CFG-ORG-001 PRD-ORG-004
GET,/attachments/{id},A_SCOPED_READ,asm.request.read,/attachments/{id},PRD-ASM-007 PRD-ASM-012 PRD-PTR-005
POST,/api/ui/board/{id}/findings/{findingId}/comments,B_SCOPED_WRITE,asm.request.read,board,PRD-ASM-007 PRD-ASM-012 PRD-VUL-001
GET,/api/ui/account,G_UNAUTHENTICATED,unauthenticated,account,SEC-SEC-012 SEC-SEC-016
GET,/overview,G_UNAUTHENTICATED,unauthenticated,/overview,PRD-UIX-006 INT-UIX-004
GET,/vulnerabilities,G_UNAUTHENTICATED,unauthenticated,/vulnerabilities,PRD-UIX-006 INT-UIX-004
GET,/api,G_UNAUTHENTICATED,unauthenticated,/api,PRD-API-036
GET,/api/ui/composition,A_SCOPED_READ,sbm.coverage.read,composition,PRD-SBM-056 PRD-SBM-032
POST,/api/ui/teams/{id}/retire,E_CONFIGURATION,cap.team.manage,teams,PRD-CAP-001 PRD-CAP-013 PRD-AUZ-001
GET,/app,G_UNAUTHENTICATED,unauthenticated,/app,PRD-API-036 INT-UIX-003
POST,/api/ui/settings/fields/{id},E_CONFIGURATION,cfg.asset.field.manage,settings,PRD-AST-014 PRD-TEN-004 PRD-AUZ-006
GET,/app/{a}/{b}/{c},G_UNAUTHENTICATED,unauthenticated,/app/{a}/{b}/{c},PRD-API-036 INT-UIX-003
POST,/api/ui/access/users/{id}/reset,C_RESTRICTED_REVEAL,iam.credential.reset,access,PRD-IAM-007 SEC-SEC-016 SEC-AUZ-017
GET,/api/ui/applications/{id}/editor,A_SCOPED_READ,ast.asset.update,applications,PRD-AST-001 PRD-AST-008 SEC-AUZ-016
GET,/api/ui/projects/{id}/posture,A_SCOPED_READ,ast.asset.read,projects,PRD-AST-001 PRD-UIX-011 PRD-UIX-022 SEC-AUZ-016
GET,/api-guide,G_UNAUTHENTICATED,unauthenticated,/api-guide,PRD-PLT-007 INT-UIX-008
POST,/api/ui/settings/fields,E_CONFIGURATION,cfg.asset.field.manage,settings,PRD-AST-014 PRD-TEN-004 PRD-AUZ-006
GET,/guide,G_UNAUTHENTICATED,unauthenticated,/guide,PRD-PLT-007 INT-UIX-008
POST,/api/v1/rescans/{id},F_SERVICE_INGEST,sbm.scan.run,rescans,PRD-SBM-035 PRD-SBM-056 SEC-AUZ-016
GET,/ui,G_UNAUTHENTICATED,unauthenticated,/ui,PRD-API-036 INT-UIX-003
GET,/api/ui/overview,A_SCOPED_READ,vul.finding.read,overview,PRD-UIX-011 PRD-UIX-022 SEC-AUZ-016
GET,/api/v1/asset-types,A_SCOPED_READ,ast.assettype.read,asset-types,PRD-AST-001 PRD-AST-002
POST,/api/ui/service-credentials/{id}/revoke,E_CONFIGURATION,sbm.credential.manage,service-credentials,PRD-IAM-003 PRD-AUZ-002 SEC-SEC-004
GET,/brand/icon-180.png,G_UNAUTHENTICATED,unauthenticated,/brand/icon-180.png,PRD-UIX-006 INT-UIX-004
POST,/api/ui/board/{id}/findings/{findingId}/remediation,B_SCOPED_WRITE,asm.request.read,board,PRD-VUL-001 PRD-WRK-032 SEC-AUZ-017
GET,/roles/{id},G_UNAUTHENTICATED,unauthenticated,/roles/{id},PRD-AUZ-001 SEC-SEC-004
POST,/api/v1/org-node-types,E_CONFIGURATION,org.nodetype.manage,org-node-types,CFG-ORG-001 PRD-ORG-004
POST,/api/ui/teams/members,E_CONFIGURATION,cap.team.manage,teams,PRD-CAP-001 PRD-CAP-013 PRD-AUZ-001
GET,/pipeline/findings/{id},G_UNAUTHENTICATED,unauthenticated,/pipeline/findings/{id},PRD-UIX-006 INT-UIX-004
POST,/api/v1/sbom-submissions,F_SERVICE_INGEST,sbm.sbom.submit,sbom-submissions,PRD-API-038 PRD-API-039 PRD-SBM-037
POST,/api/ui/settings/environments/{id}/lifecycle,E_CONFIGURATION,cfg.asset.field.manage,settings,CFG-AST-002 PRD-AST-004 PRD-TEN-004 PRD-AUZ-006
GET,/,G_UNAUTHENTICATED,unauthenticated,/,PRD-UIX-006 INT-UIX-004
GET,/applications/{id},G_UNAUTHENTICATED,unauthenticated,/applications/{id},PRD-AST-001 PRD-AST-008 SEC-AUZ-016 SEC-AUZ-017
POST,/api/ui/board/{id}/findings/{findingId},B_SCOPED_WRITE,vul.finding.triage,board,PRD-ASM-007 PRD-ASM-012 PRD-VUL-001
POST,/api/v1/requests/{id}/transitions,B_SCOPED_WRITE,asm.request.update,requests,PRD-WRK-031 PRD-WRK-032 PRD-WRK-036
PATCH,/api/v1/findings/{id},B_SCOPED_WRITE,vul.finding.triage,findings,PRD-VUL-001 SEC-AUZ-016
GET,/assets/{name},G_UNAUTHENTICATED,unauthenticated,/assets/{name},PRD-UIX-006 INT-UIX-004
POST,/api/ui/projects/{id}/editor,B_SCOPED_WRITE,ast.asset.update,projects,PRD-AST-004 PRD-AST-014 PRD-AST-016 SEC-AUZ-017
POST,/api/ui/board/{id}/participants,E_CONFIGURATION,asm.request.read,board,PRD-AUZ-002 SEC-AUZ-014 SEC-AUZ-017
POST,/api/ui/settings/environments/{id},E_CONFIGURATION,cfg.asset.field.manage,settings,CFG-AST-002 PRD-AST-004 PRD-TEN-004 PRD-AUZ-006
GET,/mfa-enrol,G_UNAUTHENTICATED,unauthenticated,/mfa-enrol,SEC-SEC-003 PRD-IAM-002
POST,/api/ui/organization/{id}/deprecate,E_CONFIGURATION,org.node.update,organization,PRD-ORG-001 PRD-ORG-003 PRD-ORG-006 SEC-AUZ-017
GET,/api/ui/vulnerabilities/export,A_SCOPED_READ,vul.finding.read,vulnerabilities,PRD-VUL-013 PRD-VUL-015 PRD-UIX-011 SEC-AUZ-016
POST,/api/ui/alerts/{id}/active,E_CONFIGURATION,sbm.alert.manage,alerts,PRD-NTF-001 PRD-SBM-056 SEC-AUZ-016
POST,/api/ui/board/{id}/transitions,B_SCOPED_WRITE,asm.request.update,board,PRD-PTR-021 PRD-ASM-003 SEC-AUZ-016
GET,/api/ui/workload/analytics,A_SCOPED_READ,cap.team.read,workload,PRD-CAP-005 PRD-CAP-008 PRD-CAP-013 PRD-CAP-014
GET,/sign-in,G_UNAUTHENTICATED,unauthenticated,/sign-in,SEC-SEC-005 SEC-SEC-013 SEC-TEN-004
POST,/api/v1/criticality-tiers,E_CONFIGURATION,org.nodetype.manage,criticality-tiers,CFG-ORG-001 PRD-ORG-006
GET,/api/ui/dependencies/advisories,A_SCOPED_READ,sbm.coverage.read,dependencies,PRD-SBM-035 PRD-SBM-056 SEC-AUZ-016
GET,/workload,G_UNAUTHENTICATED,unauthenticated,/workload,PRD-CAP-005 PRD-CAP-008 PRD-CAP-013 PRD-CAP-014
GET,/composition,G_UNAUTHENTICATED,unauthenticated,/composition,PRD-SBM-056 PRD-SBM-032
GET,/api/v1/requests/{id},A_SCOPED_READ,asm.request.read,requests,PRD-PTR-021 PRD-ASM-003 SEC-AUZ-016
GET,/ui/{a},G_UNAUTHENTICATED,unauthenticated,{a},PRD-API-036 INT-UIX-003
POST,/api/v1/finding-imports,F_SERVICE_INGEST,ing.findings.import,finding-imports,PRD-ING-024 PRD-ING-027 PRD-ING-040 PRD-ING-041
GET,/ui/{a}/{b}/{c},G_UNAUTHENTICATED,unauthenticated,{a},PRD-API-036 INT-UIX-003
GET,/api/ui/projects/{id}/access,A_SCOPED_READ,ast.asset.read,projects,PRD-AUZ-002 SEC-AUZ-014 SEC-AUZ-017
POST,/security-policy,E_CONFIGURATION,iam.user.manage,/security-policy,PRD-IAM-007 PRD-IAM-006 SEC-SEC-006
GET,/api/ui/board/{id}/comments,A_SCOPED_READ,asm.request.read,board,PRD-ASM-007 PRD-ASM-012 PRD-VUL-001
GET,/api/ui/applications/{id}/posture,A_SCOPED_READ,ast.asset.read,applications,PRD-AST-001 PRD-UIX-011 PRD-UIX-022 SEC-AUZ-016
GET,/api/ui/dependencies,A_SCOPED_READ,sbm.coverage.read,dependencies,PRD-SBM-035 PRD-SBM-056 SEC-AUZ-016
POST,/api/ui/applications,B_SCOPED_WRITE,ast.asset.create,applications,PRD-AST-001 PRD-AST-008 SEC-AUZ-016
