id,class,domain,seq,owning_doc,statement,priority,verification,status,supersedes,superseded_by,extraction_source
CFG-AIC-001,CFG,AIC,001,DOC-01,"AI provider selection, model selection per capability, permitted data categories, consumption budgets, and per-capability enablement MUST be tenant-configurable.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-ASM-001,CFG,ASM,001,DOC-01,"Assessment types, checklist definitions and their selection rules, assessment gates, and intake classification rules MUST be tenant-configurable.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-AST-001,CFG,AST,001,DOC-01,"Business criticality tier names and count, exposure classification values, and asset tag vocabularies MUST be tenant-configurable.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-AST-002,CFG,AST,002,DOC-01,"The set of environments an asset endpoint may be published in MUST be tenant-configurable, and the platform MUST offer an endpoint column and an endpoint filter for every configured environment irrespective of whether any endpoint is currently recorded in it.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-AUZ-001,CFG,AUZ,001,DOC-01,"Roles, their names, and their permission composition MUST be tenant-configurable from the product-fixed permission catalogue.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-AUZ-002,CFG,AUZ,002,DOC-01,Scope assignment — which principals hold which roles over which nodes — MUST be tenant-managed without vendor involvement.,MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-DSH-001,CFG,DSH,001,DOC-01,"Report templates, section selection, branding, scheduled delivery recipients, and per-role composition access MUST be tenant-configurable.",SHOULD_HAVE,DEMONSTRATION,Active,,,compact_table
CFG-KBS-001,CFG,KBS,001,DOC-01,"Knowledge base content, its structure, and its linkage to finding classes and checklist items MUST be tenant-authorable.",SHOULD_HAVE,DEMONSTRATION,Active,,,compact_table
CFG-NTF-001,CFG,NTF,001,DOC-01,"Notification rules, channel routing, digest schedules, templates, and escalation timing MUST be tenant-configurable, and mandatory notification categories MUST be product-fixed.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-ORG-001,CFG,ORG,001,DOC-01,"Organization hierarchy depth, node type names, permitted parent relationships, and displayed vocabulary MUST be tenant-configurable.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-PLT-001,CFG,PLT,001,DOC-01,The permission catalogue MUST be product-fixed. Tenants compose roles from it and MUST NOT define new permissions.,MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-PLT-002,CFG,PLT,002,DOC-01,Security control floors MUST be product-fixed. Operators MAY raise them; tenants MUST NOT lower them below the product floor.,MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-PLT-003,CFG,PLT,003,DOC-01,"Audit event schema, audit immutability, and audit retention minimum MUST be product-fixed.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-PLT-004,CFG,PLT,004,DOC-01,Finding identity and the deduplication algorithm MUST be product-fixed.,MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-PLT-005,CFG,PLT,005,DOC-01,The tenant isolation boundary MUST NOT be tenant-configurable.,MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-PLT-006,CFG,PLT,006,DOC-01,"Core domain invariants MUST be product-fixed, including single-parent organization nodes, exactly one owning node per asset, mandatory bounded exception expiry, requester-approver separation, and the prohibition on risk acceptance for exposed credentials.",MUST_HAVE,AUTOMATED_TEST,Active,,,compact_table
CFG-PLT-007,CFG,PLT,007,DOC-01,The prohibition on AI write authority MUST be product-fixed.,MUST_HAVE,AUTOMATED_TEST|CODE_REVIEW,Active,,,compact_table
CFG-PLT-008,CFG,PLT,008,DOC-01,Every configurable surface MUST ship a working default configuration sufficient for productive first use.,MUST_HAVE,DEMONSTRATION,Active,,,compact_table
