# Requirement-to-test traceability matrix. Owned by DOC-16 section 16; format per DOC-00 section 8.3.
# Generated by tools/generate_matrix.py from _traceability/requirements.csv and the source tree.
#
# Three cell values, because a blank and a gap are different things:
#   <value>          the artifact, cited by requirement identifier in the source
#   N/A (reason)     the requirement owes no artifact: superseded, or verified by a
#                    method that produces no code (design inspection, demonstration,
#                    code review, architecture review, penetration test)
#   MISSING (reason) no artifact of that kind cites the requirement -- this is a GAP.
#                    Some requirements legitimately need no table and no endpoint, which is
#                    why only the test_case_id column feeds a release gate. This tool cannot
#                    tell the two apart, and says MISSING rather than guessing N/A.
#
# Evidence is a requirement identifier cited in source. That means somebody wrote the
# identifier next to the code; it is coverage, not conformance.
#
# 'Passing' is per test CLASS, from the JUnit XML: Gradle writes @DisplayName into the
# name attribute, so the method name is absent from the results. A @Disabled method is
# detected in source and never counted as passing.
#
# Release gates: see _traceability/GAPS.md.
requirement_id,owning_doc,design_ref,schema_ref,api_ref,test_case_id,verification_method,status,notes
CFG-AIC-001,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
CFG-ASM-001,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
CFG-AST-001,DOC-01,CriticalityTierScale,"criticality_tier (table, V004__organization_scope.sql)",MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
CFG-AUZ-001,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
CFG-AUZ-002,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
CFG-DSH-001,DOC-01,"N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no automated test is owed)",DEMONSTRATION,Active,priority SHOULD_HAVE
CFG-KBS-001,DOC-01,"N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no automated test is owed)",DEMONSTRATION,Active,priority SHOULD_HAVE
CFG-NTF-001,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
CFG-ORG-001,DOC-01,ResourceCatalogue,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),OperationManifestTest#<class-level citation>,AUTOMATED_TEST,Active,priority MUST_HAVE
CFG-PLT-001,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
CFG-PLT-002,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
CFG-PLT-003,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
CFG-PLT-004,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
CFG-PLT-005,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
CFG-PLT-006,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
CFG-PLT-007,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST|CODE_REVIEW,Active,priority MUST_HAVE
CFG-PLT-008,DOC-01,"N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no code artifact is owed)","N/A (verified by demonstration — a rehearsal or walkthrough, not a test; no automated test is owed)",DEMONSTRATION,Active,priority MUST_HAVE
CFG-PLT-009,DOC-01,OrgNodeTypeCatalogue,MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
CFG-PLT-010,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
CFG-PLT-011,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority SHOULD_HAVE
CFG-PLT-012,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
CFG-PTR-001,DOC-01,MISSING (no main source file cites this requirement),MISSING (no schema object cites this requirement),MISSING (no API operation cites this requirement),MISSING (no test cites this requirement),AUTOMATED_TEST,Active,priority MUST_HAVE
